step,type,amount,nameOrig,nameDest,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
352,CASH_IN,5267.87,C99095,C99028,6251.0,983.1300000000001,30470.0,35737.87,0,0
352,CASH_OUT,2179.95,C99055,C99053,5884.0,3704.05,43891.0,46070.95,0,0
353,CASH_IN,27686.43,C99060,C99032,44870.0,17183.57,92336.0,120022.43,0,0
364,PAYMENT,4848.15,C99040,C99029,5934.0,1085.8500000000004,41477.0,46325.15,0,0
370,CASH_OUT,7561.47,C99005,C99093,18824.0,11262.529999999999,36664.0,44225.47,0,0
378,PAYMENT,11076.72,C99078,C99086,21377.0,10300.28,32526.0,43602.72,0,0
383,CASH_OUT,2553.48,C99019,C99017,5276.0,2722.52,4491.0,7044.48,0,0
387,CASH_OUT,15604.46,C99062,C99001,33469.0,17864.54,47592.0,63196.46,0,0
394,PAYMENT,2894.48,C99012,C99038,8258.0,5363.52,42588.0,45482.48,0,0
400,TRANSFER,290000.0,C4001,C4002,900000.0,610000.0,0.0,290000.0,1,0
401,TRANSFER,10539.93,C99081,C99024,11318.0,778.0699999999997,5505.0,16044.93,0,0
401,TRANSFER,290000.0,C4001,C4003,610000.0,320000.0,0.0,290000.0,1,0
402,TRANSFER,290000.0,C4001,C4004,320000.0,30000.0,0.0,290000.0,1,0
403,PAYMENT,6827.15,C99079,C99045,8808.0,1980.8500000000004,24828.0,31655.15,0,0
403,TRANSFER,280000.0,C4002,C4003,280000.0,0.0,0.0,280000.0,1,0
404,TRANSFER,275000.0,C4003,C4004,275000.0,0.0,0.0,275000.0,1,0
405,TRANSFER,270000.0,C4004,C4005,270000.0,0.0,0.0,270000.0,1,0
406,CASH_OUT,270000.0,C4005,C4001,270000.0,0.0,0.0,270000.0,1,0
412,DEBIT,21621.76,C99044,C99018,45535.0,23913.24,94906.0,116527.76,0,0
412,CASH_IN,3022.05,C99012,C99029,4496.0,1473.9499999999998,65942.0,68964.05,0,0
420,PAYMENT,3698.33,C99059,C99066,8259.0,4560.67,31621.0,35319.33,0,0
438,TRANSFER,2978.44,C99068,C99027,7670.0,4691.5599999999995,47027.0,50005.44,0,0
457,PAYMENT,4789.29,C99043,C99098,8733.0,3943.71,15344.0,20133.29,0,0
467,PAYMENT,6124.16,C99009,C99018,12174.0,6049.84,18822.0,24946.16,0,0
471,TRANSFER,18698.27,C99088,C99048,55525.0,36826.729999999996,76143.0,94841.27,0,0
473,CASH_IN,24446.79,C99004,C99069,51069.0,26622.21,1230.0,25676.79,0,0
477,PAYMENT,4431.58,C99083,C99054,7294.0,2862.42,51422.0,55853.58,0,0
483,PAYMENT,1546.35,C99091,C99063,3965.0,2418.65,46073.0,47619.35,0,0
488,TRANSFER,1362.89,C99078,C99040,3545.0,2182.1099999999997,38181.0,39543.89,0,0
493,TRANSFER,2555.12,C99011,C99047,3744.0,1188.88,33424.0,35979.12,0,0
500,TRANSFER,200000.0,C5001,C5002,200000.0,0.0,0.0,200000.0,1,0
501,TRANSFER,210000.0,C5001,C5003,210000.0,0.0,0.0,210000.0,1,0
502,TRANSFER,220000.0,C5001,C5004,220000.0,0.0,0.0,220000.0,1,0
503,TRANSFER,230000.0,C5002,C5003,230000.0,0.0,0.0,230000.0,1,0
503,CASH_IN,4681.07,C99093,C99070,11854.0,7172.93,58111.0,62792.07,0,0
504,TRANSFER,240000.0,C5002,C5005,240000.0,0.0,0.0,240000.0,1,0
505,TRANSFER,250000.0,C5003,C5004,250000.0,0.0,0.0,250000.0,1,0
506,CASH_IN,2429.22,C99090,C99046,3123.0,693.7800000000002,85434.0,87863.22,0,0
506,TRANSFER,260000.0,C5004,C5005,260000.0,0.0,0.0,260000.0,1,0
507,TRANSFER,270000.0,C5005,C5001,270000.0,0.0,0.0,270000.0,1,0
508,TRANSFER,280000.0,C5005,C5002,280000.0,0.0,0.0,280000.0,1,0
508,DEBIT,1156.19,C99064,C99035,1428.0,271.80999999999995,33894.0,35050.19,0,0
509,TRANSFER,290000.0,C5004,C5001,290000.0,0.0,0.0,290000.0,1,0
509,CASH_OUT,18034.55,C99068,C99092,48844.0,30809.45,48091.0,66125.55,0,0
534,PAYMENT,5023.35,C99015,C99059,5974.0,950.6499999999996,64984.0,70007.35,0,0
537,PAYMENT,60929.58,C99015,C99017,133562.0,72632.42,18146.0,79075.58,0,0
542,PAYMENT,13131.11,C99073,C99062,37188.0,24056.89,97515.0,110646.11,0,0
543,TRANSFER,6213.01,C99034,C99064,9574.0,3360.99,79522.0,85735.01,0,0
545,PAYMENT,3216.62,C99001,C99013,5131.0,1914.38,4094.0,7310.62,0,0
546,DEBIT,3326.03,C99060,C99022,6631.0,3304.97,34406.0,37732.03,0,0
551,PAYMENT,6453.45,C99003,C99030,17484.0,11030.55,24137.0,30590.45,0,0
572,PAYMENT,3650.71,C99069,C99093,8330.0,4679.29,33362.0,37012.71,0,0
572,PAYMENT,28111.51,C99033,C99049,64802.0,36690.490000000005,20235.0,48346.509999999995,0,0
573,PAYMENT,3073.58,C99073,C99091,6153.0,3079.42,93805.0,96878.58,0,0
577,CASH_OUT,3315.15,C99029,C99066,9345.0,6029.85,3616.0,6931.15,0,0
579,CASH_OUT,708.51,C99086,C99045,1270.0,561.49,11455.0,12163.51,0,0
579,PAYMENT,12734.29,C99052,C99094,37178.0,24443.71,73925.0,86659.29000000001,0,0
588,PAYMENT,11123.06,C99087,C99048,32256.0,21132.940000000002,99470.0,110593.06,0,0
590,TRANSFER,5078.56,C99073,C99060,5587.0,508.4399999999996,9504.0,14582.560000000001,0,0
590,CASH_IN,1792.67,C99077,C99075,3727.0,1934.33,88118.0,89910.67,0,0
595,TRANSFER,3067.06,C99091,C99058,7849.0,4781.9400000000005,62781.0,65848.06,0,0
597,PAYMENT,5252.95,C99008,C99029,7108.0,1855.0500000000002,73489.0,78741.95,0,0
601,CASH_OUT,1157.41,C99058,C99002,2913.0,1755.59,49276.0,50433.41,0,0
610,CASH_OUT,7738.52,C99006,C99049,10415.0,2676.4799999999996,73077.0,80815.52,0,0
611,PAYMENT,2081.22,C99010,C99056,5777.0,3695.78,6381.0,8462.22,0,0
619,CASH_IN,7943.77,C99069,C99010,21244.0,13300.23,84357.0,92300.77,0,0
620,PAYMENT,23499.11,C99076,C99092,30580.0,7080.889999999999,30634.0,54133.11,0,0
622,PAYMENT,9067.81,C99006,C99008,24819.0,15751.19,84199.0,93266.81,0,0
624,DEBIT,10697.78,C99046,C99079,24473.0,13775.22,40241.0,50938.78,0,0
631,PAYMENT,2254.13,C99051,C99025,3671.0,1416.87,51929.0,54183.13,0,0
637,PAYMENT,4085.25,C99083,C99071,6981.0,2895.75,6792.0,10877.25,0,0
641,CASH_IN,3981.09,C99028,C99049,4213.0,231.90999999999985,33309.0,37290.09,0,0
644,CASH_IN,36217.46,C99081,C99045,83276.0,47058.54,55310.0,91527.45999999999,0,0
661,TRANSFER,6540.87,C99047,C99032,6829.0,288.1300000000001,77201.0,83741.87,0,0
662,CASH_OUT,21193.38,C99016,C99072,58263.0,37069.619999999995,4478.0,25671.38,0,0
665,PAYMENT,1736.13,C99042,C99086,3556.0,1819.87,34803.0,36539.13,0,0
687,CASH_IN,6263.51,C99015,C99064,16796.0,10532.49,10589.0,16852.510000000002,0,0
693,TRANSFER,1137.47,C99064,C99079,3064.0,1926.53,1783.0,2920.4700000000003,0,0
695,PAYMENT,11434.44,C99014,C99038,26343.0,14908.56,98663.0,110097.44,0,0
702,CASH_OUT,1122.31,C99054,C99070,1700.0,577.69,64923.0,66045.31,0,0
707,PAYMENT,7872.54,C99052,C99076,14191.0,6318.46,69981.0,77853.54,0,0
712,PAYMENT,1993.36,C99099,C99029,3375.0,1381.64,89699.0,91692.36,0,0
713,TRANSFER,22275.18,C99096,C99045,57141.0,34865.82,99665.0,121940.18,0,0
714,TRANSFER,1447.55,C99066,C99016,2281.0,833.45,82147.0,83594.55,0,0
714,TRANSFER,1987.28,C99046,C99027,5024.0,3036.7200000000003,96917.0,98904.28,0,0
718,CASH_OUT,2178.14,C99008,C99047,5644.0,3465.86,18947.0,21125.14,0,0
718,PAYMENT,3878.29,C99086,C99069,8839.0,4960.71,24979.0,28857.29,0,0
721,TRANSFER,3202.45,C99076,C99020,5533.0,2330.55,46672.0,49874.45,0,0
726,PAYMENT,2758.55,C99065,C99009,3982.0,1223.4499999999998,55546.0,58304.55,0,0
731,TRANSFER,2388.55,C99051,C99054,2595.0,206.44999999999982,49308.0,51696.55,0,0
735,CASH_IN,20006.68,C99085,C99040,33154.0,13147.32,8004.0,28010.68,0,0
737,CASH_OUT,1959.7,C99086,C99029,5557.0,3597.3,29359.0,31318.7,0,0
741,PAYMENT,2285.78,C99092,C99001,3834.0,1548.2199999999998,31646.0,33931.78,0,0
