account_id,pattern_type,description,confidence
C3001,circular,circular pattern · 4 accounts,0.753
C3003,circular,circular pattern · 4 accounts,0.753
C3004,circular,circular pattern · 4 accounts,0.753
C3005,circular,circular pattern · 4 accounts,0.753
C3001,circular,circular pattern · 4 accounts,0.751
C3002,circular,circular pattern · 4 accounts,0.751
C3005,circular,circular pattern · 4 accounts,0.751
C3004,circular,circular pattern · 4 accounts,0.751
C3001,circular,circular pattern · 4 accounts,0.743
C3002,circular,circular pattern · 4 accounts,0.743
C3003,circular,circular pattern · 4 accounts,0.743
C3005,circular,circular pattern · 4 accounts,0.743
C3001,dense_cluster,dense_cluster pattern · density 0.6,0.74
C3005,dense_cluster,dense_cluster pattern · density 0.6,0.74
C3003,dense_cluster,dense_cluster pattern · density 0.6,0.74
C3004,dense_cluster,dense_cluster pattern · density 0.6,0.74
C3002,dense_cluster,dense_cluster pattern · density 0.6,0.74
C3001,circular,circular pattern · 4 accounts,0.737
C3002,circular,circular pattern · 4 accounts,0.737
C3003,circular,circular pattern · 4 accounts,0.737
C3004,circular,circular pattern · 4 accounts,0.737
C4005,circular,circular pattern · 3 accounts,0.732
C4001,circular,circular pattern · 3 accounts,0.732
C4004,circular,circular pattern · 3 accounts,0.732
C5004,circular,circular pattern · 3 accounts,0.7
C5005,circular,circular pattern · 3 accounts,0.7
C5001,circular,circular pattern · 3 accounts,0.7
C5004,circular,circular pattern · 3 accounts,0.7
C5001,circular,circular pattern · 3 accounts,0.7
C5003,circular,circular pattern · 3 accounts,0.7
C5002,dense_cluster,dense_cluster pattern · density 0.5,0.7
C5004,dense_cluster,dense_cluster pattern · density 0.5,0.7
C5005,dense_cluster,dense_cluster pattern · density 0.5,0.7
C5001,dense_cluster,dense_cluster pattern · density 0.5,0.7
C5003,dense_cluster,dense_cluster pattern · density 0.5,0.7
C5005,circular,circular pattern · 3 accounts,0.684
C5001,circular,circular pattern · 3 accounts,0.684
C5002,circular,circular pattern · 3 accounts,0.684
C4002,dense_cluster,dense_cluster pattern · density 0.35,0.637
C4003,dense_cluster,dense_cluster pattern · density 0.35,0.637
C4004,dense_cluster,dense_cluster pattern · density 0.35,0.637
C4005,dense_cluster,dense_cluster pattern · density 0.35,0.637
C4001,dense_cluster,dense_cluster pattern · density 0.35,0.637
C3001,circular,circular pattern · 3 accounts,0.618
C3004,circular,circular pattern · 3 accounts,0.618
C3005,circular,circular pattern · 3 accounts,0.618
C3005,circular,circular pattern · 3 accounts,0.618
C3002,circular,circular pattern · 3 accounts,0.618
C3003,circular,circular pattern · 3 accounts,0.618
C3001,circular,circular pattern · 3 accounts,0.612
C3003,circular,circular pattern · 3 accounts,0.612
C3005,circular,circular pattern · 3 accounts,0.612
C1001,dense_cluster,dense_cluster pattern · density 0.333,0.607
C1004,dense_cluster,dense_cluster pattern · density 0.333,0.607
C1003,dense_cluster,dense_cluster pattern · density 0.333,0.607
C1002,dense_cluster,dense_cluster pattern · density 0.333,0.607
C3001,circular,circular pattern · 3 accounts,0.606
C3002,circular,circular pattern · 3 accounts,0.606
C3005,circular,circular pattern · 3 accounts,0.606
C3001,circular,circular pattern · 3 accounts,0.606
C3003,circular,circular pattern · 3 accounts,0.606
C3004,circular,circular pattern · 3 accounts,0.606
C99093,circular,circular pattern · 6 accounts,0.432
C99070,circular,circular pattern · 6 accounts,0.432
C99045,circular,circular pattern · 6 accounts,0.432
C99078,circular,circular pattern · 6 accounts,0.432
C99086,circular,circular pattern · 6 accounts,0.432
C99069,circular,circular pattern · 6 accounts,0.432
C99011,circular,circular pattern · 6 accounts,0.419
C99047,circular,circular pattern · 6 accounts,0.419
C99079,circular,circular pattern · 6 accounts,0.419
C99045,circular,circular pattern · 6 accounts,0.419
C99021,circular,circular pattern · 6 accounts,0.419
C99096,circular,circular pattern · 6 accounts,0.419
C99008,circular,circular pattern · 6 accounts,0.409
C99047,circular,circular pattern · 6 accounts,0.409
C99017,circular,circular pattern · 6 accounts,0.409
C99042,circular,circular pattern · 6 accounts,0.409
C99086,circular,circular pattern · 6 accounts,0.409
C99006,circular,circular pattern · 6 accounts,0.409
C99042,circular,circular pattern · 5 accounts,0.341
C99086,circular,circular pattern · 5 accounts,0.341
C99006,circular,circular pattern · 5 accounts,0.341
C99049,circular,circular pattern · 5 accounts,0.341
C99017,circular,circular pattern · 5 accounts,0.341
C99078,circular,circular pattern · 4 accounts,0.296
C99074,circular,circular pattern · 4 accounts,0.296
C99079,circular,circular pattern · 4 accounts,0.296
C99045,circular,circular pattern · 4 accounts,0.296
C99093,circular,circular pattern · 4 accounts,0.279
C99078,circular,circular pattern · 4 accounts,0.279
C99086,circular,circular pattern · 4 accounts,0.279
C99069,circular,circular pattern · 4 accounts,0.279
C99078,circular,circular pattern · 3 accounts,0.227
C99086,circular,circular pattern · 3 accounts,0.227
C99045,circular,circular pattern · 3 accounts,0.227
C99045,circular,circular pattern · 3 accounts,0.211
C99021,circular,circular pattern · 3 accounts,0.211
C99096,circular,circular pattern · 3 accounts,0.211
C99016,circular,circular pattern · 3 accounts,0.205
C99029,circular,circular pattern · 3 accounts,0.205
C99066,circular,circular pattern · 3 accounts,0.205
